Company,Year,Level,Comments
Ford Fusion Hybrid,2021,4,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Renault-Nissan,2020,3,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
BMW,2021,3,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Delphi,2019,0,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Tesla,2021,5,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Toyota,2020,3,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Uber,2030,0,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Baidu,2020,4,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Audi,2020,0,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Bosch,2020,3,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Faraday Futures,2018,4,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Apple,2019,1,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Otto,2017,2,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Lucid Motors,2018,2,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
Argo AI,2021,1,Ford is a super cool company that has lots of fun and does lots of cool stuff on the weekend; Ford fears puppies and spiders but not pancakes. Why do oyu think that is?; Ford knows not life.
