company	description	source
Alibaba	Alibaba Group Holding Limited is a Chinese e-commerce company that provides consumer-to-consumer, business-to-consumer and business-to-business sales services via web portals. It also provides electronic payment services, a shopping search engine and data-centric cloud computing services.	Wikipedia
Audi, BMW, Daimler	Audi, BMW, and Daimler are German luxury automakers. The three companies are working together to improve their mapping services, which will be key to developing autonomous vehicles.	Original work
AutoNavi	AutoNavi Holdings Limited is a Chinese provider of digital map content and navigation solutions. The company has built a mobile and internet location-based service platform that offers its customers and business partners a broad range of solutions serving various aspects of customer needs.	Crunchbase
Baidu	Baidu, Inc. is a Chinese web services company headquartered at the Baidu Campus in Beijing's Haidian District. It is one of the largest Internet companies in the world. Baidu offers many services, including a Chinese search engine for websites, audio files and images.	Wikipedia
Cruise Automation	Cruise Automation is a self-driving car company that develops an autopilot system for existing cars. Cruise is developing autonomous technology capable of handling challenging aspects of city driving. Its fleet of Chevrolet Bolt EVs is deployed on busy San Francisco streets testing the future of mobility.	Crunchbase
deCarta	deCarta is the leading provider of advanced and comprehensive geospatial software platforms for today's cutting-edge Internet, mobile, personal navigation and enterprise location-based service (LBS) applications. deCarta's technology is a crucial link in the LBS value chain as it extends from base map data and content through to the application, service provider and on to the end-user.	Crunchbase
Faraday future	Faraday Future is an American start-up technology company focused on the development of intelligent electric vehicles. Faraday Future was established in April 2014 and is headquartered in Los Angeles, California, in the Harbor Gateway neighborhood, which is adjacent to Carson, California.	Wikipedia
Ford	The Ford Motor Company (commonly referred to simply as "Ford") is an American multinational automaker headquartered in Dearborn, Michigan, a suburb of Detroit. It was founded by Henry Ford and incorporated on June 16, 1903. The company sells automobiles and commercial vehicles under the Ford brand and most luxury cars under the Lincoln brand.	Wikipedia
GM	General Motors Company, commonly known as GM, is an American multinational corporation headquartered in Detroit, Michigan, that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services. With global headquarters at the Renaissance Center in Detroit, Michigan, United States, GM manufactures cars and trucks in 35 countries.	Wikipedia
Google	Google is an American multinational technology company specializing in Internet-related services and products. These include online advertising technologies, search, cloud computing, software, and hardware	Wikipedia
HERE	HERE, the Open Location Platform company, enables people, enterprises and cities to harness the power of location. By making sense of the world through the lens of location we empower our customers to achieve better outcomes – from helping a city manage its infrastructure or an enterprise optimize its assets to delivering drivers to their destination safely.	Crunchbase
Lucid Motors	Lucid Motors is a Silicon Valley company that designs, develops, and builds electric vehicles.	Crunchbase
Otto	Otto is an autonomous startup focused on the development of self-driving technology for trucks. The company works on technology that enables drivers to let their truck steer by itself on certain parts of the highway. Otto also provides solutions that can be fitted onto trucks.	Crunchbase
Renault–Nissan	Renault–Nissan Alliance is a Franco-Japanese strategic partnership between automobile manufacturers Renault, based in Paris, France, and Nissan, based in Yokohama, Japan, which together sell more than one in 10 cars worldwide. The companies, which have been strategic partners since 1999, have nearly 450,000 employees and control nine major brands.	Wikipedia
SAIPS	SAIPS core expertise is design, development and implementation of algorithmic engines that are based on Deep Neural Networks (‘Deep Learning’). SAIPS portfolio consists of five algorithmic suites that provide state of the art solutions for the hottest computer vision challenges.	Crunchbase
Sylpheo	Sylpheo is a French software-development company. Sylpheo accelerates the expansion of its connected vehicle and mobility services programs.	Crunchbase
Tesla	Tesla is a major American automaker, energy storage company, and solar panel manufacturer based in Palo Alto, California. The company specializes in electric cars, Lithium-ion battery energy storage, and, through their SolarCity subsidiary, residential solar panels.	Wikipedia
Uber	Uber Technologies Inc. is a transportation network company headquartered in San Francisco, California, United States, operating in 570 cities worldwide. It develops, markets and operates the Uber car transportation and food delivery mobile apps. Uber drivers use their own cars, although drivers can rent a car to drive with Uber.	Wikipedia
Udacity	Udacity is a for-profit educational organization. It offers massive open online courses (MOOCS.) While it originally focused on offering university-style courses, it now focuses more on vocational courses for professionals. It offers multiple courses in the science and technology behind autonomous vehicles.	Edited from Wikipedia
Waymo	Waymo is an autonomous car development company spun out of Google's parent company, Alphabet Inc., in December 2016. It then took over the self-driving car project which Google had begun in 2009. Alphabet describes Waymo as "a self-driving tech company with a mission to make it safe and easy for people and things to move around."	Wikipedia
